,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
529,06,sup_parietal,153,207,2.189571097492963
530,06,sup_parietal,153,45,2.2138826511695573
531,06,sup_parietal,153,99,2.8412782335948386
532,06,sup_parietal,207,153,2.5108886632442977
533,06,sup_parietal,207,207,2.6917234834534316
534,06,sup_parietal,207,45,2.5453331301021973
535,06,sup_parietal,207,99,2.623614569192088
536,06,sup_parietal,45,153,3.3625986098962994
537,06,sup_parietal,45,207,2.5781986912256682
538,06,sup_parietal,45,45,2.6407090948029737
539,06,sup_parietal,45,99,2.5418001153165046
540,06,sup_parietal,99,153,2.5476749501615417
541,06,sup_parietal,99,207,2.6240106983061446
542,06,sup_parietal,99,45,2.3454001186049593
543,06,sup_parietal,99,99,2.343224323071141
544,06,inf_parietal,153,153,1.7202607237696386
545,06,inf_parietal,153,207,1.803414396529699
546,06,inf_parietal,153,45,2.375632204700303
547,06,inf_parietal,153,99,1.8636462003414644
548,06,inf_parietal,207,153,1.8295290828744142
549,06,inf_parietal,207,207,1.56728594348394
550,06,inf_parietal,207,45,2.07688445032997
551,06,inf_parietal,207,99,1.807273753741942
552,06,inf_parietal,45,153,2.00705072910837
553,06,inf_parietal,45,207,1.6337030748985768
554,06,inf_parietal,45,45,1.810112364552874
555,06,inf_parietal,45,99,1.6612977509629872
556,06,inf_parietal,99,153,1.8712976366439413
557,06,inf_parietal,99,207,2.2570600009284902
558,06,inf_parietal,99,45,1.8595572068515183
559,06,inf_parietal,99,99,1.8282600003993217
560,06,v5,153,153,3.044773035855804
561,06,v5,153,207,3.7638429160876448
562,06,v5,153,45,2.0173679940420355
563,06,v5,153,99,2.1897383476606547
564,06,v5,207,153,3.087493219616287
565,06,v5,207,207,5.030484940574884
566,06,v5,207,45,3.911582266073795
567,06,v5,207,99,3.530862232258069
568,06,v5,45,153,3.755723193502461
569,06,v5,45,207,2.601601645857463
570,06,v5,45,45,2.743276159831109
571,06,v5,45,99,3.860124900633874
572,06,v5,99,153,3.133869599795381
573,06,v5,99,207,2.014397450746664
574,06,v5,99,45,2.012312387384699
575,06,v5,99,99,2.4974658333132744
576,07,premotor,153,153,1.9324443404812155
577,07,premotor,153,207,2.019657957551249
578,07,premotor,153,45,1.9382484982644814
579,07,premotor,153,99,1.9613045319975106
580,07,premotor,207,153,1.760626705017025
581,07,premotor,207,207,1.9298862405419301
582,07,premotor,207,45,1.7362288937329904
583,07,premotor,207,99,1.8452994886728273
584,07,premotor,45,153,1.6607923995569198
585,07,premotor,45,207,1.967551792077846
586,07,premotor,45,45,1.731717315084461
587,07,premotor,45,99,1.8543903578270904
588,07,premotor,99,153,1.690454040777847
589,07,premotor,99,207,1.9267805178968747
590,07,premotor,99,45,1.838986693584963
591,07,premotor,99,99,1.7729141617995774
592,07,motor,153,153,2.1062887001496398
593,07,motor,153,207,1.9933487898270295
594,07,motor,153,45,2.202408276912335
595,07,motor,153,99,2.177121012352703
596,07,motor,207,153,2.200267918337524
597,07,motor,207,207,1.9109884506769734
598,07,motor,207,45,2.0897020205388976
599,07,motor,207,99,2.165364416657389
600,07,motor,45,153,1.8824020386512548
601,07,motor,45,207,2.1263151892436642
602,07,motor,45,45,1.9807798331885904
603,07,motor,45,99,2.4767731563070434
604,07,motor,99,153,1.960936111837154
605,07,motor,99,207,2.594717556238969
606,07,motor,99,45,2.5620251942625965
607,07,motor,99,99,2.1742673783370026
608,07,v1,153,153,1.792262282190124
609,07,v1,153,207,1.3464617137250552
610,07,v1,153,45,1.3009429922736562
611,07,v1,153,99,1.347835766319374
612,07,v1,207,153,1.7819580510972022
613,07,v1,207,207,1.4574355319193786
614,07,v1,207,45,1.4275923482324766
615,07,v1,207,99,1.56390979815912
616,07,v1,45,153,1.8398620198274167
617,07,v1,45,207,1.4084001499416383
618,07,v1,45,45,1.4462105607424731
619,07,v1,45,99,1.6383887822218588
620,07,v1,99,153,1.781285812482318
621,07,v1,99,207,1.547083884671397
622,07,v1,99,45,1.3618282590300856
623,07,v1,99,99,1.6041640392546226
624,07,sup_parietal,153,153,3.6779974634658332
625,07,sup_parietal,153,207,2.263042054284273
626,07,sup_parietal,153,45,2.422931085272025
627,07,sup_parietal,153,99,2.9004597001008587
628,07,sup_parietal,207,153,2.574992873359988
629,07,sup_parietal,207,207,2.91276953624969
630,07,sup_parietal,207,45,2.841375067683423
631,07,sup_parietal,207,99,2.6997954597295086
632,07,sup_parietal,45,153,3.4160060479413223
633,07,sup_parietal,45,207,2.7444896377205255
634,07,sup_parietal,45,45,2.9783097789062034
635,07,sup_parietal,45,99,3.674180723786553
636,07,sup_parietal,99,153,3.600731167044594
637,07,sup_parietal,99,207,2.658689769615046
638,07,sup_parietal,99,45,2.1868096612195247
639,07,sup_parietal,99,99,3.18363669722798
640,07,inf_parietal,153,153,2.1779546220064523
641,07,inf_parietal,153,207,2.3255332366235093
642,07,inf_parietal,153,45,1.9796859932188304
643,07,inf_parietal,153,99,2.447721519885764
644,07,inf_parietal,207,153,2.0756930410940404
645,07,inf_parietal,207,207,2.1218435442876293
646,07,inf_parietal,207,45,2.097958804903302
647,07,inf_parietal,207,99,2.581699480271584
648,07,inf_parietal,45,153,2.0437674270589943
649,07,inf_parietal,45,207,1.977407968134305
650,07,inf_parietal,45,45,1.9248981729923247
