,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
367,02,motor,45,1,99,-0.03555781485008832
368,02,motor,45,2,153,-0.009930575427085777
369,02,motor,45,2,207,-0.03482121386611949
370,02,motor,45,2,45,-0.04263059022042234
371,02,motor,45,2,99,-0.05221487537210331
372,02,motor,99,0,153,-0.06703881504099661
373,02,motor,99,0,207,-0.027865469180269054
374,02,motor,99,0,45,-0.055062943379565826
375,02,motor,99,0,99,-0.07956884520160812
376,02,motor,99,1,153,-0.05130672408333831
377,02,motor,99,1,207,-0.03539139188692683
378,02,motor,99,1,45,-0.11716870741914015
379,02,motor,99,1,99,-0.038795830518982076
380,02,motor,99,2,153,-0.09728567547032624
381,02,motor,99,2,207,-0.08997150160708303
382,02,motor,99,2,45,-0.027161610605804642
383,02,motor,99,2,99,-0.06123678785249291
384,02,v1,153,0,153,0.013613282959605117
385,02,v1,153,0,207,-0.06094359261094853
386,02,v1,153,0,45,-0.07374240447133033
387,02,v1,153,0,99,-0.10557219548072261
388,02,v1,153,1,153,0.03535451222117328
389,02,v1,153,1,207,-0.08834860313357171
390,02,v1,153,1,45,-0.08279522847821837
391,02,v1,153,1,99,-0.08247617810003677
392,02,v1,153,2,153,0.09426752884994213
393,02,v1,153,2,207,-0.03151143515148343
394,02,v1,153,2,45,-0.09880602371829839
395,02,v1,153,2,99,-0.08085652003138939
396,02,v1,207,0,153,-0.05555390914209734
397,02,v1,207,0,207,0.04991425065462118
398,02,v1,207,0,45,-0.11714637805236847
399,02,v1,207,0,99,-0.11543695401563533
400,02,v1,207,1,153,-0.1349678424546304
401,02,v1,207,1,207,0.05381230226454624
402,02,v1,207,1,45,-0.09987649420067818
403,02,v1,207,1,99,-0.07305063076411335
404,02,v1,207,2,153,-0.11516204683756545
405,02,v1,207,2,207,0.04060559132788284
406,02,v1,207,2,45,-0.1416720677542357
407,02,v1,207,2,99,-0.1341681647040009
408,02,v1,45,0,153,-0.1257606397374459
409,02,v1,45,0,207,-0.12513325257010738
410,02,v1,45,0,45,0.07708942135346088
411,02,v1,45,0,99,-0.053404578508995826
412,02,v1,45,1,153,-0.16032343938407378
413,02,v1,45,1,207,-0.17505453595799075
414,02,v1,45,1,45,0.07476546733750532
415,02,v1,45,1,99,-0.05222889898490044
416,02,v1,45,2,153,-0.1325746480159733
417,02,v1,45,2,207,-0.1297943011325265
418,02,v1,45,2,45,0.08171150486560191
419,02,v1,45,2,99,-0.055944837992125386
420,02,v1,99,0,153,-0.04238700172767158
421,02,v1,99,0,207,-0.08408537279353404
422,02,v1,99,0,45,-0.1242501422368423
423,02,v1,99,0,99,0.010928513768854353
424,02,v1,99,1,153,-0.06742643554065601
425,02,v1,99,1,207,-0.06515349409078952
426,02,v1,99,1,45,-0.1061193438298591
427,02,v1,99,1,99,0.012323815352295046
428,02,v1,99,2,153,-0.09342696522027583
429,02,v1,99,2,207,-0.10602059958779646
430,02,v1,99,2,45,-0.09654810359415444
431,02,v1,99,2,99,0.03570785977520079
432,02,sup_parietal,153,0,153,-0.06736947529048144
433,02,sup_parietal,153,0,207,-0.06707374528870898
434,02,sup_parietal,153,0,45,-0.053095612878851506
435,02,sup_parietal,153,0,99,-0.05950219716215617
436,02,sup_parietal,153,1,153,-0.0734430857331353
437,02,sup_parietal,153,1,207,-0.05854769118547313
438,02,sup_parietal,153,1,45,-0.07861130555402293
439,02,sup_parietal,153,1,99,-0.06255466402704378
440,02,sup_parietal,153,2,153,-0.05791709833916328
441,02,sup_parietal,153,2,207,-0.07710193854353167
442,02,sup_parietal,153,2,45,-0.06191506386746132
443,02,sup_parietal,153,2,99,-0.04513993105430202
444,02,sup_parietal,207,0,153,-0.022692411700157785
445,02,sup_parietal,207,0,207,0.026643012027599205
446,02,sup_parietal,207,0,45,-0.04408568424056073
447,02,sup_parietal,207,0,99,-0.060461509283445715
448,02,sup_parietal,207,1,153,-0.07689074861537622
449,02,sup_parietal,207,1,207,-0.04000583652093247
450,02,sup_parietal,207,1,45,-0.007357474959638994
451,02,sup_parietal,207,1,99,-0.024354704551877517
452,02,sup_parietal,207,2,153,-0.039937124691006305
453,02,sup_parietal,207,2,207,-0.0235443336129691
454,02,sup_parietal,207,2,45,-0.0908130695183719
455,02,sup_parietal,207,2,99,-0.05054357341914511
456,02,sup_parietal,45,0,153,-0.041718601854789795
457,02,sup_parietal,45,0,207,-0.05748773988993454
458,02,sup_parietal,45,0,45,-0.020922865932624057
459,02,sup_parietal,45,0,99,-0.01675383869717812
460,02,sup_parietal,45,1,153,-0.016536285083873614
461,02,sup_parietal,45,1,207,-0.04674055865715272
462,02,sup_parietal,45,1,45,-0.007282685501451926
463,02,sup_parietal,45,1,99,0.011257483152750023
464,02,sup_parietal,45,2,153,0.03675025918580548
465,02,sup_parietal,45,2,207,-0.016296428541819334
466,02,sup_parietal,45,2,45,0.0464424788654087
467,02,sup_parietal,45,2,99,-0.010356911150614932
468,02,sup_parietal,99,0,153,0.015706199712936266
469,02,sup_parietal,99,0,207,-0.01731238160187386
470,02,sup_parietal,99,0,45,-0.024477654298012037
471,02,sup_parietal,99,0,99,-0.0022425700275397822
472,02,sup_parietal,99,1,153,-0.04922526867530541
473,02,sup_parietal,99,1,207,-0.04224967312313062
474,02,sup_parietal,99,1,45,-0.059776791286871446
475,02,sup_parietal,99,1,99,-0.07938216347848152
476,02,sup_parietal,99,2,153,-0.10253656877901789
477,02,sup_parietal,99,2,207,-0.07250456860597408
478,02,sup_parietal,99,2,45,-0.05879265775053974
479,02,sup_parietal,99,2,99,-0.06671227144018033
480,02,inf_parietal,153,0,153,-0.07144170628792586
481,02,inf_parietal,153,0,207,-0.05389067664565851
482,02,inf_parietal,153,0,45,-0.009900372487421816
483,02,inf_parietal,153,0,99,-0.07490966903185678
484,02,inf_parietal,153,1,153,-0.05796426734050788
485,02,inf_parietal,153,1,207,-0.050221200811492256
486,02,inf_parietal,153,1,45,-0.08295433506912386
487,02,inf_parietal,153,1,99,-0.08818344362059757
488,02,inf_parietal,153,2,153,-0.06436550586192602
489,02,inf_parietal,153,2,207,-0.05715543365734406
490,02,inf_parietal,153,2,45,-0.046162974252070825
491,02,inf_parietal,153,2,99,-0.05132102573083765
492,02,inf_parietal,207,0,153,-0.00477716520225332
493,02,inf_parietal,207,0,207,-0.034601463891250274
494,02,inf_parietal,207,0,45,-0.02894528178165069
495,02,inf_parietal,207,0,99,-0.04934886516530273
496,02,inf_parietal,207,1,153,-0.05417398946655476
497,02,inf_parietal,207,1,207,-0.02954191261820966
498,02,inf_parietal,207,1,45,0.014640406800656945
499,02,inf_parietal,207,1,99,-0.037317678633546764
500,02,inf_parietal,207,2,153,-0.0643727240741895
501,02,inf_parietal,207,2,207,-0.02678183913494419
502,02,inf_parietal,207,2,45,-0.054808909923109425
503,02,inf_parietal,207,2,99,-0.01771996426253846
504,02,inf_parietal,45,0,153,0.006693360868040609
505,02,inf_parietal,45,0,207,-0.038400505290876276
506,02,inf_parietal,45,0,45,-0.049084257379518124
507,02,inf_parietal,45,0,99,-0.02023032500898098
508,02,inf_parietal,45,1,153,-0.08004167971056547
509,02,inf_parietal,45,1,207,-0.079077574840747
510,02,inf_parietal,45,1,45,-0.054578304867888894
511,02,inf_parietal,45,1,99,-0.041028745276601095
512,02,inf_parietal,45,2,153,-0.008129255307455601
513,02,inf_parietal,45,2,207,-0.03480296749785642
514,02,inf_parietal,45,2,45,-0.015309951530812622
515,02,inf_parietal,45,2,99,-0.07640442024964894
516,02,inf_parietal,99,0,153,-0.0870744390289174
517,02,inf_parietal,99,0,207,-0.01835539844522391
518,02,inf_parietal,99,0,45,-0.042657900094937015
519,02,inf_parietal,99,0,99,-0.06811361894909582
520,02,inf_parietal,99,1,153,-0.021056328665074144
521,02,inf_parietal,99,1,207,-0.05355850297927332
522,02,inf_parietal,99,1,45,-0.08965874556473069
523,02,inf_parietal,99,1,99,0.008359212776043668
524,02,inf_parietal,99,2,153,-0.06395427001432841
525,02,inf_parietal,99,2,207,-0.06383297618388634
526,02,inf_parietal,99,2,45,-0.03462233957225205
527,02,inf_parietal,99,2,99,-0.046949059463106894
528,02,v5,153,0,153,-0.06247192358148921
529,02,v5,153,0,207,-0.11059196974652902
530,02,v5,153,0,45,-0.19175609513358244
531,02,v5,153,0,99,-0.14688474156328088
532,02,v5,153,1,153,0.09365528206000194
533,02,v5,153,1,207,0.05385398809165661
534,02,v5,153,1,45,-0.11839333594709586
535,02,v5,153,1,99,-0.03640982072270869
536,02,v5,153,2,153,-0.04306377752679563
537,02,v5,153,2,207,-0.11236604658044969
538,02,v5,153,2,45,-0.13436032247000307
539,02,v5,153,2,99,-0.08133026242655095
540,02,v5,207,0,153,-0.018192639988767363
541,02,v5,207,0,207,0.052768611543753965
542,02,v5,207,0,45,-0.11927979896362022
543,02,v5,207,0,99,-0.07330859693302359
544,02,v5,207,1,153,-0.17330355924322072
545,02,v5,207,1,207,0.0035994843207789555
546,02,v5,207,1,45,-0.07151017900923044
547,02,v5,207,1,99,-0.04319694726570428
548,02,v5,207,2,153,-0.028701260666037755
549,02,v5,207,2,207,0.06458724516230008
550,02,v5,207,2,45,-0.13251186532681697
551,02,v5,207,2,99,-0.046354448432551695
552,02,v5,45,0,153,-0.08468617143322946
553,02,v5,45,0,207,-0.12222689374792912
554,02,v5,45,0,45,0.08655052088864176
555,02,v5,45,0,99,-0.11135578181150119
556,02,v5,45,1,153,-0.174534087214976
557,02,v5,45,1,207,-0.16394757473491847
558,02,v5,45,1,45,0.06227420774817834
559,02,v5,45,1,99,-0.08493438193107851
560,02,v5,45,2,153,-0.13139623361619057
561,02,v5,45,2,207,-0.08448608234848007
562,02,v5,45,2,45,0.07187955086844085
563,02,v5,45,2,99,-0.09453957287699749
564,02,v5,99,0,153,-0.03517280590120949
