,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
694,02,inf_parietal,99,207,2,8.664048750073867
695,02,inf_parietal,99,207,3,0.593797248434236
696,02,inf_parietal,99,45,0,215.73883149946562
697,02,inf_parietal,99,45,1,18.064546166646064
698,02,inf_parietal,99,45,2,5.9599194568408
699,02,inf_parietal,99,45,3,1.2457406755720253
700,02,inf_parietal,99,99,0,219.40157674699122
701,02,inf_parietal,99,99,1,16.639949531957193
702,02,inf_parietal,99,99,2,6.526366826955898
703,02,inf_parietal,99,99,3,1.1403683178093602
704,02,v5,153,153,0,92.44809043259335
705,02,v5,153,153,1,17.84607090321785
706,02,v5,153,153,2,5.865203834745882
707,02,v5,153,153,3,1.2880019883702658
708,02,v5,153,207,0,87.71361162338916
709,02,v5,153,207,1,18.161333435006863
710,02,v5,153,207,2,6.025075251733803
711,02,v5,153,207,3,0.20402893598282884
712,02,v5,153,45,0,92.303882583557
713,02,v5,153,45,1,17.608775988786977
714,02,v5,153,45,2,5.188550133762455
715,02,v5,153,45,3,0.598153605258625
716,02,v5,153,99,0,88.43604947193717
717,02,v5,153,99,1,17.62298882914674
718,02,v5,153,99,2,7.1632171111106855
719,02,v5,153,99,3,0.7094518337351404
720,02,v5,207,153,0,95.56067422359808
721,02,v5,207,153,1,21.111896284010864
722,02,v5,207,153,2,6.116650474166869
723,02,v5,207,153,3,1.5872873939054302
724,02,v5,207,207,0,88.37532519950236
725,02,v5,207,207,1,17.03259973340017
726,02,v5,207,207,2,7.4720695590730415
727,02,v5,207,207,3,0.10273262293370716
728,02,v5,207,45,0,91.53506280156823
729,02,v5,207,45,1,15.9880447007926
730,02,v5,207,45,2,10.448404553703453
731,02,v5,207,45,3,0.24426584489444547
732,02,v5,207,99,0,89.29361464114618
733,02,v5,207,99,1,17.608409675303015
734,02,v5,207,99,2,8.6138528461289
735,02,v5,207,99,3,0.9809313156170688
736,02,v5,45,153,0,92.20468343500845
737,02,v5,45,153,1,18.61497364799616
738,02,v5,45,153,2,6.8616275308424655
739,02,v5,45,153,3,0.585358370059191
740,02,v5,45,207,0,86.87310890427578
741,02,v5,45,207,1,17.04060959990152
742,02,v5,45,207,2,7.524639147382732
743,02,v5,45,207,3,0.38935291504033187
744,02,v5,45,45,0,90.12993173017666
745,02,v5,45,45,1,20.43804452555638
746,02,v5,45,45,2,10.3739503932219
747,02,v5,45,45,3,0.5511080403156342
748,02,v5,45,99,0,87.21791840056338
749,02,v5,45,99,1,18.52076993037739
750,02,v5,45,99,2,10.813579592074984
751,02,v5,45,99,3,0.03408743057436403
752,02,v5,99,153,0,99.01339384423574
753,02,v5,99,153,1,15.29752769813463
754,02,v5,99,153,2,9.795407821362184
755,02,v5,99,153,3,0.6154353526077412
756,02,v5,99,207,0,86.52765460301993
757,02,v5,99,207,1,18.120998467593548
758,02,v5,99,207,2,7.871877215424947
759,02,v5,99,207,3,0.21477560614908137
760,02,v5,99,45,0,95.59378191599089
761,02,v5,99,45,1,18.66889191981177
762,02,v5,99,45,2,5.477139598585488
763,02,v5,99,45,3,0.35694941117181256
764,02,v5,99,99,0,93.70201639685581
765,02,v5,99,99,1,16.70773920945635
766,02,v5,99,99,2,10.481610163450952
767,02,v5,99,99,3,0.7550055179936135
768,03,premotor,153,153,0,512.9361793444358
769,03,premotor,153,153,1,16.56846446684712
770,03,premotor,153,153,2,6.622570757897357
771,03,premotor,153,153,3,0.32454364904647803
772,03,premotor,153,207,0,500.6780649016174
773,03,premotor,153,207,1,10.828111732620787
774,03,premotor,153,207,2,4.599925873827059
775,03,premotor,153,207,3,0.7640761520635326
776,03,premotor,153,45,0,496.0340143213128
777,03,premotor,153,45,1,15.379079950980778
778,03,premotor,153,45,2,3.987082553808663
779,03,premotor,153,45,3,0.8406476152895554
780,03,premotor,153,99,0,486.7208368372006
781,03,premotor,153,99,1,12.36386191662788
782,03,premotor,153,99,2,4.254064224233736
783,03,premotor,153,99,3,1.15549464026469
784,03,premotor,207,153,0,509.6729012527327
785,03,premotor,207,153,1,19.782551794671384
