,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
619,07,v1,45,99,0.09885424751674257
620,07,v1,99,153,0.08115098020247381
621,07,v1,99,207,0.05861278327547112
622,07,v1,99,45,0.14856227027543573
623,07,v1,99,99,0.21911557447482616
624,07,sup_parietal,153,153,0.0797977129882051
625,07,sup_parietal,153,207,0.1120677127140145
626,07,sup_parietal,153,45,0.07407596301166612
627,07,sup_parietal,153,99,0.12304211422969527
628,07,sup_parietal,207,153,0.10582738829211139
629,07,sup_parietal,207,207,0.10917085060116413
630,07,sup_parietal,207,45,0.13941084098389273
631,07,sup_parietal,207,99,0.10078068686638827
632,07,sup_parietal,45,153,0.05864051919296251
633,07,sup_parietal,45,207,0.13638246362074496
634,07,sup_parietal,45,45,0.09943986296677822
635,07,sup_parietal,45,99,0.0737456826312427
636,07,sup_parietal,99,153,0.07545441295492461
637,07,sup_parietal,99,207,0.0834069652787322
