,Participants,Masks,Rotate Direction,Straight Direction,Correlation
442,05,sup_parietal,45,45,0.012192938885349813
443,05,sup_parietal,45,99,-0.013305107271432935
444,05,sup_parietal,99,153,0.034246231455766454
445,05,sup_parietal,99,207,0.009807693217065698
446,05,sup_parietal,99,45,-0.06730811680978838
447,05,sup_parietal,99,99,0.023245421370655276
448,05,inf_parietal,153,153,-0.03817684875321605
449,05,inf_parietal,153,207,0.005861483758756388
450,05,inf_parietal,153,45,0.035480494947406384
451,05,inf_parietal,153,99,2.8581084469002718e-05
452,05,inf_parietal,207,153,-0.018672083624225233
453,05,inf_parietal,207,207,0.016449575801994284
454,05,inf_parietal,207,45,0.00677104432547888
455,05,inf_parietal,207,99,0.016460901053747153
456,05,inf_parietal,45,153,0.062147275321056836
457,05,inf_parietal,45,207,-0.05732299730742378
458,05,inf_parietal,45,45,0.0071981576588125915
459,05,inf_parietal,45,99,-0.043830482534882254
460,05,inf_parietal,99,153,-0.024045456868339803
461,05,inf_parietal,99,207,0.0263433110985774
462,05,inf_parietal,99,45,-0.042004307177635675
463,05,inf_parietal,99,99,0.06899832768628313
464,05,v5,153,153,-0.0821792248913004
465,05,v5,153,207,0.0055467720832616425
466,05,v5,153,45,0.165493993512451
467,05,v5,153,99,-0.05775257606280348
468,05,v5,207,153,-0.008329338614062667
469,05,v5,207,207,0.025969895956558166
470,05,v5,207,45,-0.08479886687599339
471,05,v5,207,99,0.0895614195099
472,05,v5,45,153,0.059641512994826375
473,05,v5,45,207,-0.012256883660018408
474,05,v5,45,45,-0.009930283040806634
475,05,v5,45,99,-0.0870559923343683
476,05,v5,99,153,-0.0027577493619841686
477,05,v5,99,207,0.03268839867834385
478,05,v5,99,45,-0.026389743895313938
479,05,v5,99,99,0.03244382414696037
480,06,premotor,153,153,0.019384182202587148
481,06,premotor,153,207,-0.03630950711634997
482,06,premotor,153,45,-0.019186152507389632
483,06,premotor,153,99,0.03734612405968522
484,06,premotor,207,153,-0.0076078039395302876
485,06,premotor,207,207,0.01802237187860204
486,06,premotor,207,45,0.039055661520134136
487,06,premotor,207,99,-0.05885626361061526
488,06,premotor,45,153,0.0077332232066852705
489,06,premotor,45,207,-0.008917622267893494
490,06,premotor,45,45,-0.021202967011494163
491,06,premotor,45,99,0.0217404162535514
492,06,premotor,99,153,-0.025451161415211285
493,06,premotor,99,207,0.028823098351046475
494,06,premotor,99,45,-0.0034688429795208323
495,06,premotor,99,99,0.007947745829975606
496,06,motor,153,153,-0.007426421087891103
497,06,motor,153,207,-0.03739891678239604
498,06,motor,153,45,0.06650587777594702
499,06,motor,153,99,-0.02947394099149605
500,06,motor,207,153,-0.03181086314534875
501,06,motor,207,207,0.012583220220431925
502,06,motor,207,45,0.008724518313364363
503,06,motor,207,99,0.01226014036643577
504,06,motor,45,153,0.06736403514987668
505,06,motor,45,207,0.00809545846176562
506,06,motor,45,45,-0.07408430960615112
507,06,motor,45,99,0.026630794240041535
508,06,motor,99,153,-0.032495465137209134
509,06,motor,99,207,0.031901322277615385
510,06,motor,99,45,0.0017685145773136263
511,06,motor,99,99,-0.02410791011049352
512,06,v1,153,153,-0.10857588260604331
513,06,v1,153,207,0.058124813758394504
514,06,v1,153,45,0.036811377476222665
515,06,v1,153,99,0.011512137362074175
516,06,v1,207,153,-0.009663528521310093
517,06,v1,207,207,-0.051324578326932366
518,06,v1,207,45,0.06125293707104572
519,06,v1,207,99,0.03582646024149312
520,06,v1,45,153,0.06871127723319417
521,06,v1,45,207,-0.038004260913099594
